image_id,healthy,multiple_diseases,rust,scab
Train_112,0,0,0,1
Train_698,0,0,0,1
Train_1739,0,0,0,1
Train_951,1,0,0,0
Train_1631,1,0,0,0
Train_1410,0,0,0,1
Train_1409,0,0,1,0
Train_1533,1,0,0,0
Train_1291,0,0,1,0
Train_1648,0,1,0,0
Train_441,0,0,1,0
Train_1520,0,0,0,1
Train_1136,0,0,0,1
Train_1256,0,0,1,0
Train_1697,1,0,0,0
Train_1397,1,0,0,0
Train_663,0,0,0,1
Train_1672,1,0,0,0
Train_1257,1,0,0,0
Train_1618,0,1,0,0
Train_317,1,0,0,0
Train_648,1,0,0,0
Train_1434,0,0,1,0
Train_1479,1,0,0,0
Train_709,0,0,0,1
Train_1382,0,0,0,1
Train_1282,1,0,0,0
Train_972,0,0,0,1
Train_627,0,0,1,0
Train_632,0,0,1,0
Train_1306,1,0,0,0
Train_1400,0,0,1,0
Train_1408,1,0,0,0
Train_1248,1,0,0,0
Train_1774,1,0,0,0
Train_1254,1,0,0,0
Train_1496,1,0,0,0
Train_1371,1,0,0,0
Train_1529,0,0,0,1
Train_1354,1,0,0,0
Train_1749,0,0,1,0
Train_1727,0,0,0,1
Train_1684,0,0,1,0
Train_795,0,0,0,1
Train_645,0,1,0,0
Train_1012,1,0,0,0
Train_1675,1,0,0,0
Train_556,0,0,0,1
Train_681,0,0,0,1
Train_577,0,0,1,0
Train_1109,0,0,0,1
Train_1266,0,0,1,0
Train_1183,0,0,0,1
Train_524,0,0,0,1
Train_1059,0,0,0,1
Train_540,0,0,0,1
Train_1194,0,0,1,0
Train_748,0,0,0,1
Train_1802,0,0,1,0
Train_1430,0,0,0,1
Train_484,0,1,0,0
Train_95,0,1,0,0
Train_1020,1,0,0,0
Train_563,0,1,0,0
Train_1264,0,1,0,0
Train_742,0,0,1,0
Train_863,1,0,0,0
Train_1598,1,0,0,0
Train_1484,0,0,0,1
Train_891,0,0,0,1
Train_1577,0,1,0,0
Train_1038,0,0,0,1
Train_206,0,0,1,0
Train_392,1,0,0,0
Train_794,1,0,0,0
Train_870,0,0,0,1
Train_397,1,0,0,0
Train_766,0,0,1,0
Train_1677,0,0,1,0
Train_1241,0,0,0,1
Train_1028,0,1,0,0
Train_642,1,0,0,0
Train_1719,0,0,0,1
Train_612,0,0,1,0
Train_960,1,0,0,0
Train_1570,0,0,0,1
Train_725,1,0,0,0
Train_683,0,0,1,0
Train_98,0,0,1,0
Train_804,0,0,1,0
Train_1597,1,0,0,0
Train_406,1,0,0,0
Train_502,1,0,0,0
Train_1071,0,0,1,0
Train_1056,0,0,0,1
Train_929,1,0,0,0
Train_779,0,0,1,0
Train_200,0,0,0,1
Train_134,1,0,0,0
Train_1051,0,0,1,0
Train_40,0,0,0,1
Train_1017,1,0,0,0
Train_230,0,0,0,1
Train_1513,1,0,0,0
Train_378,1,0,0,0
Train_288,0,0,1,0
Train_418,0,1,0,0
Train_391,0,1,0,0
Train_592,1,0,0,0
Train_1522,0,0,0,1
Train_1162,0,0,0,1
Train_1086,1,0,0,0
Train_1495,0,0,0,1
Train_647,0,0,1,0
Train_1152,0,0,0,1
Train_1367,0,0,0,1
Train_520,0,0,0,1
Train_64,0,0,1,0
Train_14,0,0,1,0
Train_1180,1,0,0,0
Train_1064,0,0,1,0
Train_492,0,0,1,0
Train_379,0,0,0,1
Train_187,0,0,1,0
Train_763,0,0,1,0
Train_216,0,0,0,1
Train_791,1,0,0,0
Train_1076,0,0,0,1
Train_878,0,0,0,1
Train_337,1,0,0,0
Train_719,0,0,1,0
Train_295,1,0,0,0
Train_1016,0,0,0,1
Train_1275,0,0,1,0
Train_1485,0,0,1,0
Train_455,0,0,1,0
Train_1817,1,0,0,0
Train_815,1,0,0,0
Train_269,0,0,1,0
Train_995,0,0,1,0
Train_201,1,0,0,0
Train_161,0,0,0,1
Train_1579,0,0,1,0
Train_729,0,0,0,1
Train_401,0,0,0,1
Train_702,0,1,0,0
Train_1500,0,0,0,1
Train_1129,0,1,0,0
Train_565,0,0,0,1
Train_1413,0,0,1,0
Train_1021,0,0,1,0
Train_1025,0,0,0,1
Train_1411,0,0,0,1
Train_1585,1,0,0,0
Train_1104,0,0,0,1
Train_205,0,0,1,0
Train_34,0,0,1,0
Train_775,0,0,0,1
Train_508,0,0,1,0
Train_1451,0,0,1,0
Train_1478,1,0,0,0
Train_1791,0,0,1,0
Train_1390,0,1,0,0
Train_91,0,0,0,1
Train_1363,0,0,0,1
Train_897,1,0,0,0
Train_564,0,0,1,0
Train_1369,0,1,0,0
Train_776,1,0,0,0
Train_241,0,0,1,0
Train_13,1,0,0,0
Train_315,0,0,0,1
Train_600,0,0,0,1
Train_387,0,0,1,0
Train_1297,1,0,0,0
Train_166,0,0,0,1
Train_840,0,0,1,0
Train_20,0,0,0,1
Train_646,1,0,0,0
Train_1508,1,0,0,0
Train_1154,0,0,1,0
Train_1528,1,0,0,0
Train_831,0,0,0,1
Train_1267,0,0,1,0
Train_1590,1,0,0,0
Train_562,1,0,0,0
Train_1773,0,0,1,0
Train_686,0,0,0,1
Train_957,0,0,1,0
Train_189,0,0,0,1
Train_975,0,0,1,0
Train_699,0,0,0,1
Train_1499,0,0,1,0
Train_1705,0,0,0,1
Train_510,0,0,1,0
Train_1082,1,0,0,0
Train_474,1,0,0,0
Train_1584,0,0,1,0
Train_856,0,0,0,1
Train_747,1,0,0,0
Train_252,0,0,0,1
Train_21,0,0,1,0
Train_1337,0,0,0,1
Train_459,0,0,0,1
Train_1184,0,0,1,0
Train_276,0,0,0,1
Train_955,0,0,0,1
Train_1215,0,0,1,0
Train_385,0,0,1,0
Train_805,1,0,0,0
Train_1437,0,0,1,0
Train_1515,0,0,1,0
Train_343,0,0,0,1
Train_769,1,0,0,0
Train_1332,0,0,1,0
Train_1685,0,0,0,1
Train_130,0,0,0,1
Train_1687,1,0,0,0
Train_871,0,0,0,1
Train_1123,1,0,0,0
Train_1396,1,0,0,0
Train_87,0,0,1,0
Train_1482,1,0,0,0
Train_330,1,0,0,0
Train_1238,0,0,0,1
Train_466,1,0,0,0
Train_121,0,0,1,0
Train_1638,0,0,0,1
Train_1044,1,0,0,0
Train_1724,1,0,0,0
Train_1095,0,0,0,1
Train_1130,0,0,0,1
Train_1294,0,0,0,1
Train_860,0,0,1,0
Train_1459,1,0,0,0
Train_1126,0,0,1,0
